provincia,provinciaID,departamento,departamentoID,pop2010,pop2021
Buenos Aires,06,25 de Mayo,06854,36149,37156
Buenos Aires,06,9 de Julio,06588,48150,48838
Buenos Aires,06,Adolfo Alsina,06007,17222,17507
Buenos Aires,06,Adolfo Gonzales Chaves,06014,12168,11899
Buenos Aires,06,Alberti,06021,10746,11018
Buenos Aires,06,Almirante Brown,06028,557025,601618
Buenos Aires,06,Arrecifes,06077,29252,3152
Buenos Aires,06,Avellaneda,06035,345752,35744
Buenos Aires,06,Ayacucho,06042,20505,21364
Buenos Aires,06,Azul,06049,65836,67835
Buenos Aires,06,Bahía Blanca,06056,304206,310639
Buenos Aires,06,Balcarce,06063,44190,45829
Buenos Aires,06,Baradero,06070,32969,36649
Buenos Aires,06,Benito Juárez,06084,20429,20542
Buenos Aires,06,Berazategui,06091,326109,369294
Buenos Aires,06,Berisso,06098,89070,97406
Buenos Aires,06,Bolívar,06105,34468,36108
Buenos Aires,06,Bragado,06112,41710,42184
Buenos Aires,06,Brandsen,06119,26480,31442
Buenos Aires,06,Campana,06126,95041,106522
Buenos Aires,06,Cañuelas,06134,52059,63923
Buenos Aires,06,Capitán Sarmiento,06140,14576,16553
Buenos Aires,06,Carlos Casares,06147,22407,23824
Buenos Aires,06,Carlos Tejedor,06154,11680,11669
Buenos Aires,06,Carmen de Areco,06161,14809,15629
Buenos Aires,06,Castelli,06168,8270,8708
Buenos Aires,06,Chacabuco,06210,49052,52971
Buenos Aires,06,Chascomús,06217,36887,41480
Buenos Aires,06,Chivilcoy,06224,64671,68758
Buenos Aires,06,Colón,06008,25063,27264
Buenos Aires,06,Colón,06175,25063,27264
Buenos Aires,06,Coronel de Marina L. Rosales,06182,62712,63581
Buenos Aires,06,Coronel Dorrego,06189,15998,15141
Buenos Aires,06,Coronel Pringles,06196,23179,22089
Buenos Aires,06,Coronel Suárez,06203,38628,40474
Buenos Aires,06,Daireaux,06231,17013,18314
Buenos Aires,06,Dolores,06238,27251,28849
Buenos Aires,06,Ensenada,06245,57123,62214
Buenos Aires,06,Escobar,06252,215256,258805
Buenos Aires,06,Esteban Echeverría,06260,300785,377237
Buenos Aires,06,Exaltación de la Cruz,06266,29888,37161
Buenos Aires,06,Ezeiza,06270,163287,224228
Buenos Aires,06,Florencio Varela,06274,426738,52527
Buenos Aires,06,Florentino Ameghino,06277,8932,9711
Buenos Aires,06,General Alvarado,06280,39837,44546
Buenos Aires,06,General Alvear,06287,11234,11503
Buenos Aires,06,General Arenales,06294,15042,15062
Buenos Aires,06,General Belgrano,06301,17474,19461
Buenos Aires,06,General Guido,06308,2841,2897
Buenos Aires,06,General Juan Madariaga,06315,19880,21755
Buenos Aires,06,General La Madrid,06322,10892,10619
Buenos Aires,06,General Las Heras,06329,14955,17639
Buenos Aires,06,General Lavalle,06336,3713,4528
Buenos Aires,06,General Paz,06343,11294,11806
Buenos Aires,06,General Pinto,06351,11363,11521
Buenos Aires,06,General Pueyrredón,06357,624388,659462
Buenos Aires,06,General Rodríguez,06364,87339,111759
Buenos Aires,06,General San Martín,06371,418017,425911
Buenos Aires,06,General Viamonte,06385,18232,18807
Buenos Aires,06,General Villegas,06392,31092,33501
Buenos Aires,06,Guaminí,06399,11918,12646
Buenos Aires,06,Hipólito Yrigoyen,06406,9657,10318
Buenos Aires,06,Hurlingham,06408,182604,194597
Buenos Aires,06,Ituzaingó,06410,169038,182011
Buenos Aires,06,José C. Paz,06412,267275,311187
Buenos Aires,06,Junín,06413,91192,9344
Buenos Aires,06,La Costa,06420,70033,79341
Buenos Aires,06,La Matanza,06427,1777530,2327874
Buenos Aires,06,Lanús,06434,463555,46276
Buenos Aires,06,La Plata,06441,659575,719013
Buenos Aires,06,Laprida,06448,10287,10962
Buenos Aires,06,Las Flores,06455,24087,2441
Buenos Aires,06,Leandro N. Alem,06462,16942,17489
Buenos Aires,06,Lezama,06466,5661,5661
Buenos Aires,06,Lincoln,06469,42204,42323
Buenos Aires,06,Lobería,06476,17671,18338
Buenos Aires,06,Lobos,06483,36404,40225
Buenos Aires,06,Lomas de Zamora,06490,621440,650678
Buenos Aires,06,Luján,06497,106886,120998
Buenos Aires,06,Magdalena,06505,18924,20729
Buenos Aires,06,Maipú,06511,10255,10402
Buenos Aires,06,Malvinas Argentinas,06515,324358,363263
Buenos Aires,06,Mar Chiquita,06518,21361,25712
Buenos Aires,06,Marcos Paz,06525,54337,67586
Buenos Aires,06,Mercedes,06532,63759,68165
Buenos Aires,06,Merlo,06539,531609,613509
Buenos Aires,06,Monte,06547,21111,24198
Buenos Aires,06,Monte Hermoso,06553,6534,7468
Buenos Aires,06,Moreno,06560,454416,54993
Buenos Aires,06,Morón,06568,324279,318104
Buenos Aires,06,Navarro,06574,17184,18301
Buenos Aires,06,Necochea,06581,93730,96204
Buenos Aires,06,Olavarría,06595,112534,120858
Buenos Aires,06,Patagones,06602,30446,32146
Buenos Aires,06,Pehuajó,06609,40109,41564
Buenos Aires,06,Pellegrini,06616,5913,6072
Buenos Aires,06,Pergamino,06623,105420,110435
Buenos Aires,06,Pila,06630,3665,3994
Buenos Aires,06,Pilar,06638,299549,385426
Buenos Aires,06,Pinamar,06644,25798,32119
Buenos Aires,06,Presidente Perón,06648,81166,108203
Buenos Aires,06,Puán,06651,15871,14972
Buenos Aires,06,Punta Indio,06655,9964,10635
Buenos Aires,06,Quilmes,06658,586462,672199
Buenos Aires,06,Ramallo,06665,33218,3818
Buenos Aires,06,Rauch,06672,15293,16246
Buenos Aires,06,Rivadavia,06679,16317,17184
Buenos Aires,06,Rojas,06686,23630,24401
Buenos Aires,06,Roque Pérez,06693,12365,13998
Buenos Aires,06,Saavedra,06700,20918,22037
Buenos Aires,06,Saladillo,06707,32317,35533
Buenos Aires,06,Salliqueló,06721,8714,8819
Buenos Aires,06,Salto,06714,32841,37179
Buenos Aires,06,San Andrés de Giles,06728,23168,25981
Buenos Aires,06,San Antonio de Areco,06735,23297,25431
Buenos Aires,06,San Cayetano,06742,8469,8827
Buenos Aires,06,San Fernando,06749,164452,175845
Buenos Aires,06,San Isidro,06756,295894,291963
Buenos Aires,06,San Miguel,06760,278019,306469
Buenos Aires,06,San Nicolás,06763,146976,156069
Buenos Aires,06,San Pedro,06770,59466,64066
Buenos Aires,06,San Vicente,06778,59510,78791
Buenos Aires,06,Suipacha,06784,10134,11637
Buenos Aires,06,Tandil,06791,124631,140657
Buenos Aires,06,Tapalqué,06798,9238,10183
Buenos Aires,06,Tigre,06805,376515,470776
Buenos Aires,06,Tordillo,06812,1780,1809
Buenos Aires,06,Tornquist,06819,12810,14047
Buenos Aires,06,Trenque Lauquen,06826,43326,46954
Buenos Aires,06,Tres Arroyos,06833,57497,5766
Buenos Aires,06,Tres de Febrero,06840,343338,344117
Buenos Aires,06,Tres Lomas,06847,8409,8872
Buenos Aires,06,Vicente López,06861,272389,267257
Buenos Aires,06,Villa Gesell,06868,31845,38606
Buenos Aires,06,Villarino,06875,31162,3679
Buenos Aires,06,Zárate,06882,114957,129309
CABA,02,COMUNA 1,02007,243946,257235
CABA,02,COMUNA 10,02070,169372,170677
CABA,02,COMUNA 11,02077,189760,190105
CABA,02,COMUNA 12,02084,211320,215002
